,,,,,,,,
,,,,,,,,
,Time ,SOC,Sum Voltage,Current (A),Temperature 1 (Near Phase Wires),Temperature 2 (Driveshaft Side),Temperature 3 (Firewall Side),Avg. Temperature 
,0.5,97.6,53.14,9.88,28.31,28.69,28.5,28.5
,1,97.6,53.14,9.88,28.31,28.69,28.5,28.5
,1.5,97.6,53.14,9.88,28.37,28.69,28.5,28.52
,2,97.6,53.14,9.88,28.44,28.69,28.5,28.5433333
,2.5,97.6,53.14,9.88,28.37,28.75,29,28.7066667
,3,97.6,53.14,9.88,28.37,28.69,28.5,28.52
,3.5,97.6,53.14,9.88,28.44,28.75,29,28.73
,4,97.6,53.14,9.88,28.37,28.75,28.5,28.54
,4.5,97.6,53.14,9.88,28.44,28.75,29,28.73
,5,97.6,53.14,9.88,28.44,28.75,29,28.73
,5.5,97.6,53.14,9.88,28.44,28.75,29,28.73
,6,97.6,53.14,9.88,28.44,28.75,29,28.73
,6.5,97.6,53.14,9.88,28.44,28.75,29,28.73
,7,97.6,53.14,9.88,28.44,28.75,29,28.73
,7.5,97.6,53.14,9.88,28.44,28.75,29,28.73
,8,97.6,53.14,9.88,28.44,28.75,29,28.73
,8.5,97.6,53.14,9.88,28.5,28.81,29,28.77
,9,97.6,53.14,9.88,28.37,28.81,29,28.7266667
,9.5,97.6,53.14,9.88,28.5,28.81,29,28.77
,10,97.6,53.14,9.88,28.5,28.81,29,28.77
,10.5,97.6,53.14,9.88,28.44,28.81,29,28.75
,11,97.6,53.14,9.88,28.44,28.87,29,28.77
,11.5,97.6,53.14,9.88,28.44,28.87,29,28.77
,12,97.6,53.14,9.88,28.5,28.87,29,28.79
,12.5,97.6,53.14,9.88,28.44,28.87,29,28.77
,13,97.6,53.14,9.88,28.44,28.87,29,28.77
,13.5,97.6,53.14,9.88,28.44,28.87,29,28.77
,14,97.6,53.14,9.88,28.44,28.94,29,28.7933333
,14.5,97.6,53.14,9.88,28.56,28.94,29,28.8333333
,15,97.6,53.14,9.88,28.56,29,29,28.8533333
,15.5,97.6,53.14,9.88,28.5,29,29,28.8333333
,16,97.6,53.14,9.88,28.5,29.06,29,28.8533333
,16.5,97.6,53.14,9.88,28.5,29,29,28.8333333
,17,97.6,53.14,9.88,28.56,29.06,29,28.8733333
,17.5,97.6,53.14,9.88,28.5,29.06,29,28.8533333
,18,97.6,53.14,9.88,28.56,29.06,29,28.8733333
,18.5,97.6,53.14,9.88,28.56,29.06,29,28.8733333
,19,97.6,53.14,9.88,28.56,29.06,29,28.8733333
,19.5,97.6,53.14,9.88,28.5,29.06,29,28.8533333
,20,97.6,53.14,9.88,28.5,29.06,29,28.8533333
,20.5,97.6,53.14,9.88,28.56,29.12,29,28.8933333
,21,97.6,53.14,9.88,28.56,29.12,29,28.8933333
,21.5,97.6,53.14,9.88,28.56,29.12,29,28.8933333
,22,97.6,53.14,9.88,28.62,29.12,29,28.9133333
,22.5,97.6,53.14,9.88,28.56,29.19,29,28.9166667
,23,97.6,53.14,9.88,28.62,29.19,29,28.9366667
,23.5,97.6,53.14,9.88,28.56,29.19,29,28.9166667
,24,97.6,53.14,9.88,28.62,29.25,29,28.9566667
,24.5,97.6,53.14,9.88,28.69,29.25,29,28.98
,25,97.6,53.14,9.88,28.69,29.25,29,28.98
,25.5,97.6,53.14,9.88,28.62,29.25,29,28.9566667
,26,97.6,53.14,9.88,28.62,29.31,29,28.9766667
,26.5,97.6,53.14,9.88,28.62,29.31,29,28.9766667
,27,97.6,53.14,9.88,28.62,29.31,29.5,29.1433333
,27.5,97.6,53.14,9.88,28.69,29.37,29.5,29.1866667
,28,97.6,53.14,9.88,28.69,29.31,29.5,29.1666667
,28.5,97.6,53.14,9.88,28.62,29.31,29.5,29.1433333
,29,97.6,53.14,9.88,28.69,29.37,29.5,29.1866667
